filename,emotion,genre,instrument,prompt,seed,duration_seconds,sampling_rate,model,guidance_scale,max_new_tokens
calm_003.wav,Calm,Western Classical,Solo Piano,"Western classical solo piano music expressing calmness. Instrumental only, solo piano only.",2059,29.94,32000,facebook/musicgen-small,3.0,1500
calm_004.wav,Calm,Western Classical,Solo Piano,"Western classical solo piano music expressing calmness. Instrumental only, solo piano only.",2060,29.94,32000,facebook/musicgen-small,3.0,1500
calm_005.wav,Calm,Western Classical,Solo Piano,"Western classical solo piano music expressing calmness. Instrumental only, solo piano only.",2061,29.94,32000,facebook/musicgen-small,3.0,1500
calm_006.wav,Calm,Western Classical,Solo Piano,"Western classical solo piano music expressing calmness. Instrumental only, solo piano only.",2062,29.94,32000,facebook/musicgen-small,3.0,1500
calm_007.wav,Calm,Western Classical,Solo Piano,"Western classical solo piano music expressing calmness. Instrumental only, solo piano only.",2063,29.94,32000,facebook/musicgen-small,3.0,1500
calm_008.wav,Calm,Western Classical,Solo Piano,"Western classical solo piano music expressing calmness. Instrumental only, solo piano only.",2064,29.94,32000,facebook/musicgen-small,3.0,1500
calm_009.wav,Calm,Western Classical,Solo Piano,"Western classical solo piano music expressing calmness. Instrumental only, solo piano only.",2065,29.94,32000,facebook/musicgen-small,3.0,1500
calm_010.wav,Calm,Western Classical,Solo Piano,"Western classical solo piano music expressing calmness. Instrumental only, solo piano only.",2066,29.94,32000,facebook/musicgen-small,3.0,1500
calm_011.wav,Calm,Western Classical,Solo Piano,"Western classical solo piano music expressing calmness. Instrumental only, solo piano only.",2067,29.94,32000,facebook/musicgen-small,3.0,1500
calm_012.wav,Calm,Western Classical,Solo Piano,"Western classical solo piano music expressing calmness. Instrumental only, solo piano only.",2068,29.94,32000,facebook/musicgen-small,3.0,1500
calm_013.wav,Calm,Western Classical,Solo Piano,"Western classical solo piano music expressing calmness. Instrumental only, solo piano only.",2069,29.94,32000,facebook/musicgen-small,3.0,1500
calm_014.wav,Calm,Western Classical,Solo Piano,"Western classical solo piano music expressing calmness. Instrumental only, solo piano only.",2070,29.94,32000,facebook/musicgen-small,3.0,1500
calm_015.wav,Calm,Western Classical,Solo Piano,"Western classical solo piano music expressing calmness. Instrumental only, solo piano only.",2071,29.94,32000,facebook/musicgen-small,3.0,1500
angry_001.wav,Angry,Western Classical,Solo Piano,"Western classical solo piano music expressing anger. Instrumental only, solo piano only.",2072,29.94,32000,facebook/musicgen-small,3.0,1500
angry_002.wav,Angry,Western Classical,Solo Piano,"Western classical solo piano music expressing anger. Instrumental only, solo piano only.",2073,29.94,32000,facebook/musicgen-small,3.0,1500
angry_003.wav,Angry,Western Classical,Solo Piano,"Western classical solo piano music expressing anger. Instrumental only, solo piano only.",2074,29.94,32000,facebook/musicgen-small,3.0,1500
angry_004.wav,Angry,Western Classical,Solo Piano,"Western classical solo piano music expressing anger. Instrumental only, solo piano only.",2075,29.94,32000,facebook/musicgen-small,3.0,1500
angry_005.wav,Angry,Western Classical,Solo Piano,"Western classical solo piano music expressing anger. Instrumental only, solo piano only.",2076,29.94,32000,facebook/musicgen-small,3.0,1500
angry_006.wav,Angry,Western Classical,Solo Piano,"Western classical solo piano music expressing anger. Instrumental only, solo piano only.",2077,29.94,32000,facebook/musicgen-small,3.0,1500
angry_007.wav,Angry,Western Classical,Solo Piano,"Western classical solo piano music expressing anger. Instrumental only, solo piano only.",2078,29.94,32000,facebook/musicgen-small,3.0,1500
angry_008.wav,Angry,Western Classical,Solo Piano,"Western classical solo piano music expressing anger. Instrumental only, solo piano only.",2079,29.94,32000,facebook/musicgen-small,3.0,1500
angry_009.wav,Angry,Western Classical,Solo Piano,"Western classical solo piano music expressing anger. Instrumental only, solo piano only.",2080,29.94,32000,facebook/musicgen-small,3.0,1500
angry_010.wav,Angry,Western Classical,Solo Piano,"Western classical solo piano music expressing anger. Instrumental only, solo piano only.",2081,29.94,32000,facebook/musicgen-small,3.0,1500
angry_011.wav,Angry,Western Classical,Solo Piano,"Western classical solo piano music expressing anger. Instrumental only, solo piano only.",2082,29.94,32000,facebook/musicgen-small,3.0,1500
angry_012.wav,Angry,Western Classical,Solo Piano,"Western classical solo piano music expressing anger. Instrumental only, solo piano only.",2083,29.94,32000,facebook/musicgen-small,3.0,1500
angry_013.wav,Angry,Western Classical,Solo Piano,"Western classical solo piano music expressing anger. Instrumental only, solo piano only.",2084,29.94,32000,facebook/musicgen-small,3.0,1500
angry_014.wav,Angry,Western Classical,Solo Piano,"Western classical solo piano music expressing anger. Instrumental only, solo piano only.",2085,29.94,32000,facebook/musicgen-small,3.0,1500
angry_015.wav,Angry,Western Classical,Solo Piano,"Western classical solo piano music expressing anger. Instrumental only, solo piano only.",2086,29.94,32000,facebook/musicgen-small,3.0,1500
